프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
React 기반 장비 관제화면 프런트 개발(퍼블리싱 포함),"예상 금액6,000,000원","6,000,000원",28일,,,"['Node.js', 'nodejs', 'React']",서울특별시 구로구
센서 데이터 모니터링 시스템 구축,"예상 금액20,000,000원","20,000,000원",50일,,,"['AWS', 'Java', 'spring framework']",경기도 하남시
산업형 단말기 Android 11 단말기용 앱 UI 개발,"예상 금액3,300,000원","3,300,000원",10일,,,"['Android', 'Kotlin']",서울특별시 강남구
제안서 PPT 디자인,"예상 금액3,500,000원","3,500,000원",7일,,,['PowerPoint'],경기도 부천시 원미구
은행권 퍼블릭 클라우드(AWS) 전환 SA/AA,"월 금액12,000,000","12,000,000",180일,개발,웹,['AWS · 경력 무관'],서울특별시 중구
은행권 퍼블릭 클라우드(AWS) 전환 사업 DA/DBA,"월 금액10,000,000","10,000,000",180일,개발,웹,['AWS · 경력 무관'],서울특별시 중구
사내 업무용 영업실적현황 대시보드 디자인/개발,"예상 금액10,000,000원","10,000,000원",60일,,,[],서울특별시 영등포구
육아 커머스 플랫폼 개발 및 유지보수,"월 금액6,000,000","6,000,000",365일,개발,레벨 미선택,"['Python · 경력 무관', 'Django · 경력 무관']",경기도 수원시 영통구
제품 중개 플랫폼 웹 및 앱 구축,"예상 금액35,000,000원","35,000,000원",60일,,,"['Android', 'Flutter', 'iOS']",경기도 양주시
"회사/서비스 소개 사이트 기획, 디자인","예상 금액6,000,000원","6,000,000원",30일,,,[],서울특별시 노원구
"소개팅 서비스 신청을 위한 웹 사이트 디자인, 개발","예상 금액1,500,000원","1,500,000원",14일,,,[],서울특별시 동대문구
PHP 기반 골프매장관리 유지보수 및 고도화 API 개발,"월 금액6,500,000","6,500,000",180일,개발,웹,['PHP · 경력 무관'],경기도 성남시 분당구
스포츠 교육 서비스 플랫폼 웹 및 앱 구축,"예상 금액15,000,000원","15,000,000원",60일,,,"['Android', 'iOS']",서울특별시 금천구
환경 영향 계산 프로그램 개발,"예상 금액10,000,000원","10,000,000원",40일,,,[],서울특별시 강동구
문제 DB 입력 및 학생 정보 CRUD 프로그램 개발,"예상 금액2,000,000원","2,000,000원",5일,,,"['MSSQL', '.Net', 'WPF']",경기도 평택시
"보험사 폐쇄몰/복지몰 수정, 유지보수","예상 금액700,000원","700,000원",3일,,,['PHP'],경기도 고양시 일산동구
iOS 데이팅 앱 내 채팅 부분 프런트엔드 개발,"예상 금액2,500,000원","2,500,000원",14일,,,"['iOS', 'Swift', 'SwiftUI', 'swiftUI', 'UIKit(xib)']",서울특별시 강남구
헬스케어 Android 앱/웹 개발 및 영상 서버 구축,"월 금액7,500,000","7,500,000",120일,개발,웹,"['Java · 경력 무관', 'Kotlin · 경력 무관']",서울특별시 서초구
사진/영상 투표 시연용 웹 구축,"예상 금액2,000,000원","2,000,000원",14일,,,[],부산광역시 강서구
운영 중인 쇼핑몰의 통합 관리 솔루션 설계/개발,"예상 금액30,000,000원","30,000,000원",90일,,,"['Django', 'Python']",경기도 수원시 영통구
웹 기반 이미지 에디터 프론트엔드 개발,"예상 금액12,000,000원","12,000,000원",30일,,,"['fabric.js', 'JavaScript']",서울특별시 서초구
"Flutter, Node.js 기반 풀스택 개발자 구인","월 금액7,000,000","7,000,000",60일,개발,웹,"['MySQL · 경력 무관', 'Flutter · 경력 무관']",서울특별시 강남구
리액트 기반 반응형 웹개발,"예상 금액3,000,000원","3,000,000원",20일,,,"['CSS', 'HTML', 'react.js']",서울특별시 강남구
EtherCAT 에서 Gantry 제어 방법에 대한 자문,"예상 금액1,000,000원","1,000,000원",3일,,,['EtherCAT'],서울특별시 금천구
정부24 공인인증서 로그인 및 스크래핑 모듈 개발,"예상 금액5,000,000원","5,000,000원",21일,,,[],서울특별시 강서구
한국어 강의 사이트 반응형웹 디자인/개발,"예상 금액30,000,000원","30,000,000원",60일,,,[],서울특별시 관악구
전자증명서 수취시스템 구축 프로젝트 기획,"월 금액6,000,000","6,000,000",75일,기획,웹,"['Figma · 경력 무관', 'PowerPoint · 경력 무관']",부산광역시 강서구
전자증명서 수취시스템 구축 프로젝트 개발,"월 금액6,300,000","6,300,000",105일,개발,웹,"['Java · 경력 무관', 'jQuery · 경력 무관', 'Oracle · 경력 무관']",부산광역시 강서구
길이 측정 F/W 개발,"예상 금액1,250,000원","1,250,000원",7일,,,"['C#', 'C']",경기도 하남시
거래처 웹 사이트 정보 크롤링,"예상 금액3,000,000원","3,000,000원",10일,,,"['크롤링', '파이썬']",서울특별시 성동구
디데이 React Native 앱 및 심플한 서버 기능 개발,"예상 금액5,000,000원","5,000,000원",30일,,,['React Native'],서울특별시 광진구
위치 추적/공유 Android 앱 개발,"예상 금액3,500,000원","3,500,000원",10일,,,['Android'],인천광역시 연수구
운영 중인 사이트의 리뉴얼 구축,"예상 금액3,000,000원","3,000,000원",21일,,,[],경기도 고양시 일산서구
서비스 확장을 위한 플랫폼 내 커뮤니티 추가 구축,"예상 금액30,000,000원","30,000,000원",90일,,,"['React', 'Spring']",서울특별시 중구
비즈니스 메타버스 UX 설계 / UI 디자인,"월 금액5,500,000","5,500,000",40일,디자인,웹,"['Photoshop · 경력 무관', 'Illustrator · 경력 무관', 'Figma · 경력 무관']",서울특별시 마포구
애플리케이션 개발,"예상 금액10,000,000원","10,000,000원",45일,,,[],서울특별시 영등포구
오픈 리서치 플랫폼(모바일/PC웹) 기획/운영(주1~2회 재택),"월 금액6,000,000","6,000,000",45일,기획,웹,['Figma · 경력 무관'],서울특별시 강서구
웹툰 플랫폼(앱/웹) 프론트 개발(주 3일 재택 가능),"월 금액4,200,000","4,200,000",90일,개발,웹,"['JavaScript · 경력 무관', 'Angular · 경력 무관']",서울특별시 마포구
웹툰 플랫폼(앱/웹) 프론트 개발(주 3일 재택 가능),"월 금액4,200,000","4,200,000",90일,개발,웹,"['JavaScript · 경력 무관', 'Angular · 경력 무관']",서울특별시 마포구
운영 중인 반응형 웹 내 고객 문의 알고리즘 추가 개발,"예상 금액7,000,000원","7,000,000원",30일,,,[],경기도 수원시 영통구
학원 및 선생님용 관리 웹 퍼블리싱 및 프런트 개발(재택 가능),"월 금액3,500,000","3,500,000",45일,개발,웹,"['JavaScript · 경력 무관', 'axios · 경력 무관', 'vuex · 경력 무관', 'pinia · 경력 무관']",서울특별시 강남구
자율운항 시스템 프론트엔드 개발,"월 금액6,500,000","6,500,000",90일,개발,웹,"['JavaScript · 경력 무관', 'CSS · 경력 무관', 'HTML · 경력 무관', 'React · 경력 무관', 'TypeScript · 경력 무관', 'Vite · 경력 무관']",서울특별시 강남구
B2B 쇼핑몰의 ERP 구축을 위한 분석/설계,"예상 금액10,000,000원","10,000,000원",30일,,,"['Apache', 'CentOS', 'MySQL', 'PHP']",서울특별시 중구
윈도우 기반 데이터 시각화 및 추세 분석 SW 개발,"예상 금액18,000,000원","18,000,000원",60일,,,['Windows'],서울특별시 동대문구
딥러닝을 활용한 동작 인식 소프트웨어 고도화 개발,"예상 금액6,000,000원","6,000,000원",30일,,,[],서울특별시 은평구
건물 내외부 관리시스템 프론트엔드 유지보수/개발,"월 금액5,000,000","5,000,000",60일,개발,웹,"['JavaScript · 경력 무관', 'CSS · 경력 무관', 'HTML · 경력 무관']",서울특별시 은평구
코인 선물 거래소 레퍼럴 사이트 구축,"예상 금액25,000,000원","25,000,000원",60일,,,[],서울특별시 영등포구
캐리커쳐(카툰 스타일)로 이미지 변환 안드로이드 앱 개발,"예상 금액10,000,000원","10,000,000원",30일,,,['Android'],서울특별시 중구
웹사이트 해외진출을 위한 번역API 적용 및 달러로 금액 표현 개발,"예상 금액3,000,000원","3,000,000원",14일,,,"['PHP', '그누보드']",인천광역시 서구
팬아트 관련 커뮤니티 플랫폼 웹 및 앱 구축,"예상 금액25,000,000원","25,000,000원",40일,,,"['AWS EC2', 'Java', 'PostgreSQL', 'spring framework', 'Vue.js']",경기도 의왕시
이러닝 콘텐츠 세부 페이지 시안 디자인,"예상 금액400,000원","400,000원",2일,,,[],경기도 부천시 소사구
Laravel 기반 컨텐츠/장비 관리 시스템 개발,"월 금액6,300,000","6,300,000",60일,개발,웹,"['PHP · 경력 무관', 'Laravel · 경력 무관']",서울특별시 강남구
원내 의료정보시스템  Delphi/Oracle 유지보수,"월 금액5,000,000","5,000,000",365일,개발,레벨 미선택,"['Oracle · 경력 무관', 'Delphi · 경력 무관']",서울특별시 중랑구
"보드 2개 회로 설계, PCB/Artwork, F/W 개발","예상 금액3,000,000원","3,000,000원",7일,,,"['C#', 'C', 'PCB', '회로설계']",서울특별시 중구
앱 고도화를 위한 프로덕트 디자이너 모집(재택 근무),"월 금액3,200,000","3,200,000",180일,디자인,웹,"['Figma · 경력 무관', 'whimsical · 경력 무관']",경기도 성남시 수정구
전자정부 아카이브 시스템 백엔드 개발 및 AA,"월 금액8,000,000","8,000,000",240일,개발,웹,"['JavaScript · 경력 무관', 'Java · 경력 무관', 'HTML5 · 경력 무관', 'jQuery · 경력 무관']",경기도 수원시 영통구
이미지에 자동으로 배경 합성하는 기능 개발,"예상 금액10,000,000원","10,000,000원",60일,,,[],서울특별시 서대문구
증명사진 얼굴/헤어 등 보정 기능 개발,"예상 금액10,000,000원","10,000,000원",60일,,,[],서울특별시 서대문구
맥파 디바이스 연동 안드로이드 앱 개발,"예상 금액6,000,000원","6,000,000원",30일,,,"['Android', 'BLE', 'Kotlin']",서울특별시 구로구
미팅/채팅 서비스 Android/iOS/Windows/MAC App 구축,"예상 금액90,000,000원","90,000,000원",150일,,,"['Android', 'iOS', 'macOS', 'Windows']",서울특별시 강서구
전자정부 아카이브 시스템 프런트엔드 개발 및 AA,"월 금액8,000,000","8,000,000",240일,개발,웹,"['JavaScript · 경력 무관', 'jQuery · 경력 무관']",경기도 수원시 영통구
총판/가맹점 주문관리 시스템 백엔드 로직 수정 및 프런트 재개발,"예상 금액30,000,000원","30,000,000원",90일,,,"['CSS', 'Gradle', 'HTML', 'Java', 'JavaScript', 'jpa', 'jQuery', 'MSSQL', 'querydsl', 'Spring Boot', 'spring Security']",서울특별시 송파구
가구 입점몰/홈스타일 서비스 반응형웹 구축,"예상 금액40,000,000원","40,000,000원",90일,,,[],서울특별시 강남구
카카오 알림톡 API 연동,"예상 금액500,000원","500,000원",2일,,,['PHP'],경기도 부천시 원미구
주문관리 시스템 운영/유지보수(주20시간/재택근무),"월 금액2,000,000","2,000,000",365일,개발,웹,"['Java · 경력 무관', 'MSSQL · 경력 무관', 'jpa · 경력 무관', 'Vue · 경력 무관']",서울특별시 송파구
운영 중인 서비스 내 구독 페이지 리뉴얼 및 기능 수정,"예상 금액750,000원","750,000원",3일,,,['PHP'],서울특별시 강남구
Python 기반 거래소 주문 트리거 코드 수정,"예상 금액3,000,000원","3,000,000원",20일,,,"['AWS EC2', 'Python']",서울특별시 강남구
카테고리 별 전자 부품 DB 수집 및 주변 회로 설계,"예상 금액20,000,000원","20,000,000원",45일,,,"['easyEDA', '회로 설계']",서울특별시 강남구
피트니스 플랫폼 키오스크 및 앱 화면 디자인,"예상 금액3,000,000원","3,000,000원",20일,,,[],인천광역시 연수구
오큘러스퀘스트2/메타퀘스트3 동시 시작 VR소프트웨어 개발,"예상 금액5,000,000원","5,000,000원",20일,,,['Windows'],경기도 용인시 처인구
솔루션 기반 회사 소개 홈페이지 구축,"예상 금액1,500,000원","1,500,000원",14일,,,[],경기도 광주시
사내 인플루언서 관리 솔루션 디자인 및 개발,"예상 금액19,000,000원","19,000,000원",60일,,,"['Django', 'JavaScript', 'Python', 'React', 'TypeScript']",서울특별시 마포구
암호화폐 거래소 신규/기존 디자인 작업,"월 금액6,500,000","6,500,000",15일,디자인,웹,"['Photoshop · 경력 무관', 'Figma · 경력 무관']",서울특별시 강남구
RESTful API 포팅(레거시 API Kotlin 전환) 및 신규 개발(주35시간),"월 금액4,370,000","4,370,000",365일,개발,웹,"['Java · 경력 무관', 'Kotlin · 경력 무관', 'SpringBoot · 경력 무관']",경기도 성남시 분당구
비전 및 OCR을 활용한 이미지 변환 모델 컨설팅/데이터 수집/라벨링,"예상 금액7,500,000원","7,500,000원",30일,,,"['AI Deep Learning', 'OCR(광학문자인식)']",서울특별시 구로구
슬랙 알림 자동화 개발,"예상 금액1,500,000원","1,500,000원",10일,,,[],부산광역시 부산진구
LG CNS 2023년 Azure AD 구축/설계/운영,"월 금액7,000,000","7,000,000",180일,개발,기타,"['M365 · 경력 무관', 'intune · 경력 무관']",서울특별시 마포구
React 기반 케어네이션 방문요양 매칭 서비스 개발,"월 금액6,500,000","6,500,000",90일,개발,기타,['React · 경력 무관'],서울특별시 강남구
내부 ERP 시스템과 연동된 B2B 커머스 Platform 구축,"예상 금액90,000,000원","90,000,000원",90일,,,"['AWS', 'Bootstrap', 'Flutter', 'MySQL', 'React', 'React Native', 'Spring Boot']",경기도 안산시 단원구
검증필 암호 모듈 개발,"예상 금액25,000,000원","25,000,000원",90일,,,[],서울특별시 송파구
Android/Kotlin 기반 프로그램 수정 개발(주 1일 재택 가능),"월 금액5,000,000","5,000,000",90일,개발,레벨 미선택,"['Android · 경력 무관', 'Kotlin · 경력 무관']",서울특별시 강남구
JAVA 기반 닥터지 자사몰 튜닝 개발( 일부 재택 협의 가능 ),"월 금액7,500,000","7,500,000",180일,개발,웹,"['Java · 경력 무관', 'MySQL · 경력 무관', 'JSP · 경력 무관', 'MyBatis · 경력 무관', 'Tomcat · 경력 무관', 'Devops · 경력 무관']",경기도 성남시 분당구
보안모듈 적용을 위한 Python/flask/k8s 개발,"월 금액6,000,000","6,000,000",90일,개발,웹,"['Python · 경력 무관', 'Flask · 경력 무관', 'Kubernetes · 경력 무관']",서울특별시 강남구
부동산 관련 플랫폼 반응형 웹 구축,"예상 금액20,000,000원","20,000,000원",60일,,,[],울산광역시 남구
"운영 중인 웹 사이트 리뉴얼 기획, 디자인","예상 금액4,000,000원","4,000,000원",30일,,,['Figma'],서울특별시 광진구
Web3 회사를 위한 컨설팅펌 홈페이지 개발,"예상 금액5,000,000원","5,000,000원",21일,,,"['React', 'Vue.js']",서울특별시 송파구
홈페이지 개편 간 디자인 및 프런트엔드 개발,"예상 금액3,600,000원","3,600,000원",30일,,,['next.js'],서울특별시 서초구
전문 헤어디자이너 매칭 앱 초기 구축,"예상 금액10,000,000원","10,000,000원",30일,,,"['Android', 'iOS']",경기도 용인시 수지구
3dmax 및 AfterEffect 이용 3D 수정 및 짧은 영상 편집,"예상 금액1,000,000원","1,000,000원",5일,,,"['3dmax', 'AfterEffect']",서울특별시 성동구
Java 기반 관리시스템 유지보수,"예상 금액16,000,000원","16,000,000원",60일,,,"['Java', 'JSP', 'spring framework']",서울특별시 강남구
대용량 생체신호 분석 시스템 안드로이드 앱 개발,"월 금액7,500,000","7,500,000",90일,개발,레벨 미선택,"['Android · 경력 무관', 'Kotlin · 경력 무관']",경기도 성남시 분당구
